Instance;d;k;w_bound;Time;OurObj;BestBound;intercept;slopes
../src/instance_set/generated_instances/toy_50_10_-1.dat;10;50;10.000000;107;52.738255;0.000000;0.327732;0.160944~1.110479~1.122295~0.000000~1.331693~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-1.dat;20;50;10.000000;166;40.448883;0.000000;0.000046;0.742546~1.510408~1.446802~1.716757~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-1.dat;30;50;10.000000;232;75.064861;0.000000;0.639174;0.376468~-0.353161~1.118810~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~1.884389~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-2.dat;10;50;10.000000;65;51.619103;0.000000;0.241310;1.238360~0.808010~0.637280~0.000000~0.983702~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-2.dat;20;50;10.000000;164;65.533106;0.000000;-0.469981;-0.001259~0.000000~0.000000~0.000000~0.986320~0.000000~0.000000~0.000000~0.000000~0.000000~-0.603943~0.000000~0.000000~0.000000~0.155043~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-2.dat;30;50;10.000000;280;62.446066;0.000000;0.376397;0.000000~0.698457~1.943018~1.103601~0.708607~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-3.dat;10;50;10.000000;65;59.758331;0.000000;0.459963;1.129960~-0.248232~0.245433~0.000000~0.000000~0.000000~0.000000~-0.580458~0.000000
../src/instance_set/generated_instances/toy_50_20_-3.dat;20;50;10.000000;170;47.575225;0.000000;-0.304139;0.343411~1.498424~0.598989~0.000000~0.000000~1.506614~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-3.dat;30;50;10.000000;154;58.231205;0.000000;-0.292365;0.691870~0.000000~0.000000~0.000000~0.402629~1.563884~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.385072~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-4.dat;10;50;10.000000;76;55.508035;0.000000;0.069502;0.000000~0.862750~0.626911~1.116947~1.319390~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_20_-4.dat;20;50;10.000000;129;86.436329;0.000000;-0.342506;0.363852~0.000000~0.000000~0.000000~0.000000~0.802849~0.000000~-0.125875~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.370107~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-4.dat;30;50;10.000000;304;70.783573;0.000000;-0.275380;0.302000~1.294852~0.000000~0.000000~0.000000~0.890370~0.000000~0.000000~0.000000~0.000000~0.000000~-0.833061~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_10_-5.dat;10;50;10.000000;65;74.494299;0.000000;0.324124;0.000000~-0.119961~-0.178569~0.000000~0.000000~0.000000~-0.277581~0.000000~-0.414839
../src/instance_set/generated_instances/toy_50_20_-5.dat;20;50;10.000000;227;75.507971;0.000000;0.113073;0.000000~0.000000~0.000000~0.000000~1.525545~0.000000~0.000000~0.000000~-0.058655~0.000000~-0.263950~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
../src/instance_set/generated_instances/toy_50_30_-5.dat;30;50;10.000000;246;78.758572;0.000000;0.422208;-0.495107~-0.544359~1.081398~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.741829~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000~0.000000
